,title,year,rating,dubious,imdbid,id
0,Passage de Venus,1874,0,0,3155794,9602
1,La Rosace Magique,1877,0,0,14495706,9804
2,Sallie Gardner at a Gallop,1878,0,0,2221420,9603
3,Le singe musicien,1878,0,0,12592084,9806
4,Athlete Swinging a Pick,1881,0,0,7816420,9816
5,Buffalo Running,1883,0,0,5459794,9831
6,L&#39;homme machine,1885,0,0,8588366,9832
7,Man Walking Around the Corner,1887,0,0,2075247,9614
8,Cockatoo Flying,1887,0,0,8133192,9836
9,Child Carrying Flowers to Woman,1887,0,0,7411790,9837
10,Jumping Over a Man&#39;s Back-Leapfrog,1887,0,0,7541160,9838
11,Man Riding Jumping Horse,1887,0,0,7754902,9841
12,Baboon Climbing a Pole,1887,0,0,8361552,9902
13,Roundhay Garden Scene,1888,0,0,392728,8040
14,Accordion Player,1888,0,0,1758563,9615
15,Traffic Crossing Leeds Bridge,1888,0,0,343112,9616
16,Pferd und Reiter Springen uber ein Hindernis,1888,0,0,3274100,9675
17,Brighton Street Scene,1888,0,0,2116853,9947
18,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,0,0,466876,9619
19,Hyde Park Corner,1889,0,0,2116898,9945
20,"Monkeyshines, No. 1",1890,0,0,361921,9617
21,"Monkeyshines, No. 2",1890,0,0,416046,9618
22,London&#39;s Trafalgar Square,1890,0,0,1202028,9621
23,"Monkeyshines, No. 3",1890,0,0,416047,9678
24,Mosquinha,1890,0,0,5285442,9946
25,"Traffic in King&#39;s Road, Chelsea",1890,0,0,2116968,9944
26,Dickson Greeting,1891,0,0,241373,9626
27,Men Boxing,1891,0,0,241715,9628
28,Newark Athlete,1891,0,0,241763,9629
29,"Duncan and Another, Blacksmith Shop",1891,0,0,241393,9792
30,Duncan Smoking,1891,0,0,241392,9793
31,Duncan or Devonald with Muslin Cloud,1891,0,0,241394,9794
32,"Monkey and Another, Boxing",1891,0,0,241735,9795
33,Je vous aime,1891,0,0,3201916,9800
34,La vague,1891,0,0,3508566,9802
35,Two Fencers,1891,0,0,5447082,9943
36,Pauvre Pierrot,1892,0,0,3,5433
37,Un bon bock,1892,0,0,4,9631
38,Le clown et ses chiens,1892,0,0,2,9632
39,Fencing,1892,0,0,241446,9951
40,Le prince de Galles,1892,0,0,234520,9952
41,Wrestling,1892,0,0,242148,9948
42,Boxing,1892,0,0,241266,9986
43,Blacksmith Scene,1893,0,0,5,9583
44,Annabelle Butterfly Dance,1894,0,0,229217,9636
45,Edison Kinetoscope Records: Annie Oakley,1894,0,0,8419312,9642
46,Autour d&#39;une cabine,1894,0,0,15,9646
47,"Barbershop, The",1894,0,0,229235,9648
48,Bucking Broncho,1894,0,0,309396,9649
49,Buffalo Dance,1894,0,0,309402,9650
50,Carmencita,1894,0,0,1,9651
51,Edison Kinetoscopic Record of a Sneeze,1894,0,0,8,9652
52,Dickson Experimental Sound Film,1894,0,0,177707,9654
53,Chinese Opium Den,1894,0,0,6,9655
54,Corbett and Courtney Before the Kinetograph,1894,0,0,7,9656
55,Falling Cat,1894,0,0,2049440,9662
56,"Glenroy Bros., No. 2",1894,0,0,312728,9663
57,Glenroy Brothers,1894,0,0,256782,9664
58,Leonard-Cushing Fight,1894,0,0,203646,9668
59,"Luis Martinetti, Contortionist",1894,0,0,277115,9671
60,Sandow No. 2,1894,0,0,2161519,9673
61,Sandow No. 3,1894,0,0,2161521,9674
62,Reve au coin du feu,1894,0,0,413219,9681
63,Miss Jerry,1894,0,0,9,9779
64,Tables Turned on the Gardener,1895,0,0,14,5444
65,"Execution of Mary, Queen of Scots, The",1895,0,0,132134,6200
66,Akrobatisches Potpourri,1895,1,1,11,9679
67,Annabelle Serpentine Dance,1895,0,0,154152,9683
68,Italienischer Bauerntanz,1895,0,0,17,9714
69,Baby&#39;s Dinner,1895,1,1,29,9715
70,Billy Edwards and the Unknown,1895,0,0,477266,9766
71,Blacksmith Scene,1895,0,0,22,9767
72,Barque sortant du port,1895,0,0,16,9787
73,"House of the Devil, The",1896,0,0,91,4982
74,Une nuit terrible,1896,0,0,131,5406
75,La fee aux choux,1896,0,0,223341,5445
76,"Arrival of a Train, The",1896,0,0,12,6199
77,Sandow,1896,0,0,1428455,9672
78,Alger: rue Bab-Azoun,1896,0,0,1672718,9949
79,Lassage des boeufs pour le labour,1896,0,0,1736599,9950
80,Lancement d&#39;un navire,1896,0,0,222137,9901
81,Bataille de neige,1897,0,0,41,9328
82,Four Heads Are Better Than One,1898,0,0,135696,4978
83,"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898,0,0,211,5410
84,"Temptation of St. Anthony, The",1898,0,0,224240,5411
85,A Turn of the Century Illusionist,1899,0,0,246,4994
86,Cinderella,1899,3,0,230,5914
87,Sherlock Holmes Baffled,1900,0,0,291476,1594
88,"Enchanted Drawing, The",1900,0,0,300,4271
89,Grandma&#39;s Reading Glass,1900,0,0,304,4343
90,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,0,0,272,4344
91,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900,0,0,257654,4345
92,Hamlet ( Le Duel d&#39;Hamlet),1900,0,0,306,4346
93,"One-Man Band, The",1900,0,0,135453,4993
94,Grandma Threading Her Needle,1900,0,0,377995,5069
95,"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,0,0,230746,5072
96,Let Me Dream Again,1900,0,0,313,5438
97,"Doctor and the Monkey, The",1900,0,0,227438,5446
98,L&#39;homme a la tete en caoutchouc,1901,0,0,359,4995
99,Reve et realite,1901,0,0,258104,5437
100,Bluebeard,1901,0,0,131934,5500
101,Le voyage dans la lune,1902,0,0,417,1252
102,Gulliver&#39;s Travels,1902,0,0,229024,5431
103,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902,0,0,367177,5432
104,Mephistopheles&#39; School of Magic,1902,0,0,413,5443
105,"Great Train Robbery, The",1903,0,0,439,1319
106,"Infernal Boiling Pot, The",1903,0,0,135180,5002
107,"Music Lover, The",1903,0,0,455,5063
108,"Monster, The",1903,0,0,223755,5064
109,"Enchanted Well, The",1903,0,0,189498,5683
110,"Cook in Trouble, The",1904,0,0,215664,5224
111,"Living Playing Cards, The",1904,0,0,135179,5404
112,"Untamable Whiskers, The",1904,0,0,135631,5601
113,Le voyage a travers l&#39;impossible,1904,0,0,499,6135
114,"Scheming Gambler&#39;s Paradise, The",1905,0,0,135690,5003
115,"Black Imp, The",1905,0,0,215575,5602
116,"Story of the Kelly Gang, The",1906,1,0,574,1349
117,"Mysterious Retort, The",1906,0,0,216016,5024
118,Humorous Phases of Funny Faces,1906,0,0,554,5435
119,"Hilarious Posters, The",1906,0,0,135122,5603
120,"400 Tricks of the Devil, The",1906,0,0,567,5684
121,A Funny Shave,1906,0,0,449172,6206
122,"Consequence of Feminism, The",1906,0,0,1260944,7215
123,"Eclipse: Courtship of the Sun and Moon, The",1907,0,0,215737,5223
124,Good Glue Sticks,1907,0,0,215817,5615
125,Unusual Cooking,1908,0,0,1802750,6231
126,"Princess Nicotine; or, The Smoke Fairy",1909,2,1,1009,4409
127,"Devilish Tenant, The",1909,0,0,127948,5635
128,Le barometre de la fidelite,1909,1,0,277596,6211
129,Tilly the Tomboy Visits the Poor,1910,3,0,232821,1464
130,Mobilier fidele,1910,0,0,486978,4983
131,A Trip to Mars,1910,0,0,1515725,5685
132,Cleopatra,1912,2,0,2101,2003
133,"Invaders, The",1912,0,0,2281,2005
134,Max and the Donkey,1912,0,0,277865,5357
135,"Voyage of the Bourrichon Family, The",1913,0,0,3512,5364
136,Suspense,1913,0,0,3424,5915
137,A Florida Enchantment,1914,2,1,3973,4457
138,"Birth of a Nation, The",1915,2,0,4972,1258
139,Gretchen the Greenhorn,1916,3,0,6745,2008
140,Lady Windermere&#39;s Fan,1916,3,0,279914,2014
141,"Vagabond, The",1916,0,0,7507,5368
142,Intolerance: Love&#39;s Struggle Throughout the Ages,1916,0,0,6864,5944
143,Snow White,1916,3,0,7361,7004
144,A Tale of Two Cities,1917,3,0,8652,1981
145,Rebecca of Sunnybrook Farm,1917,3,0,8499,1993
146,"Poor Little Rich Girl, The",1917,3,0,8443,1994
147,A Romance of the Redwoods,1917,0,0,8519,2015
148,"Raffles, the Amateur Cracksman",1917,2,1,8489,2019
149,Tarzan of the Apes,1918,3,0,9682,1996
150,Stella Maris,1918,3,0,9652,2007
151,Are Crooks Dishonest?,1918,0,0,8844,5441
152,Ich mochte kein Mann sein,1918,3,1,10281,7108
153,When the Clouds Roll by,1919,3,1,10879,2018
154,Broken Blossoms or The Yellow Man and the Girl,1919,0,0,9968,2588
155,"Cabinet of Dr. Caligari, The",1920,0,0,10323,1306
156,Pollyanna,1920,3,0,11588,1991
157,Within Our Gates,1920,3,0,11870,5948
